scenario_1,run_1,3.135583781267952,2.7307994414899444,0.0,0.0.1,0.0.2,0.0.3,0.0.4,0.0.5,0.0.6,0.0.7,0.0.8,0.0.9,0.0.10,0.0.11,0.0.12,0.0.13,0.0.14,0.0.15,0.0.16,0.0.17,0.0.18,0.0.19,0.0.20,0.0.21,0.0.22,0.0.23,0.0.24,0.0.25,0.0.26,0.0.27,0.0.28,0.0.29,0.0.30,0.0.31,0.0.32,0.0.33,0.0.34,0.0.35,0.0.36,0.0.37,0.0.28,0.0.29,0.0.30,0.0.31,0.0.32,0.0.33,0.0.34,0.0.35,0.0.36,0.0.37
scenario_1,run_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scenario_1,run_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scenario_1,run_4,2.7446303996385137,2.1621257611009383,3.499869026072025,3.4997164203086983,2.1111691489146738,2.7560581806029454,0.0,2.349141736095276,2.7189815027866207,1.9516401720541272,2.048150570921269,2.2085856067133443,0.0,1.9849902104549115,2.015728168116015,2.3642155420147835,2.133193841305689,2.228376757677971,0.0,0.0,0.0,2.705963773417161,0.0,2.034233175277651,1.8342046605000644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scenario_1,run_5,2.06637549091724,2.27240191246412,0.0,0.0,0.0,0.0,0.0,0.0,1.6362124701741243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scenario_1,run_6,2.626931362516088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4180189659587072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scenario_1,run_7,2.7898984007033643,3.51957015909886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scenario_1,run_8,4.869330722752324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scenario_1,run_9,2.6654738588420184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scenario_1,run_10,2.1810906212364563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scenario_2,run_1,2.5724658072283573,1.7909775879277765,1.7914836410272763,1.7918180214915242,1.680852870854609,1.6990209541764196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scenario_2,run_2,3.097665486169403,3.0133713968496925,2.736659020131746,3.9206269420965527,3.920640600417077,3.917620142282424,3.915951889383313,3.91542585431441,3.921515819476464,3.9243578350491575,3.920499624065153,3.921740650172679,3.9284949387455153,3.944263012793469,3.957504534972416,3.701225381286096,3.64675458248816,3.647081094290227,3.645970665555153,3.5984220538577185,3.645761986984157,3.597695097554336,3.5794695782180423,3.557926528963825,3.557988238952215,3.5031203366582284,3.503160730414949,3.469686241310942,3.495050272710062,3.472108988780405,3.4236911222324906,3.2994676749513125,3.2370363126231587,3.178940761005358,3.093694953118012,3.0881811995607533,3.093757410969345,3.0703285790620454,2.941841825482025,2.929337109762137,3.4236911222324906,3.2994676749513125,3.2370363126231587,3.178940761005358,3.093694953118012,3.0881811995607533,3.093757410969345,3.0703285790620454,2.941841825482025,2.929337109762137
scenario_2,run_3,1.8430000315994568,1.971762655685576,1.973382800097156,1.762179003334338,1.6220890867779112,1.7112844701319734,1.612116071414119,1.5946221240957572,1.5354026898139266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scenario_2,run_4,3.94235340080536,2.563950367204073,3.736747586792831,3.945976763612924,3.941001231290626,3.94028650383218,3.735272648934562,3.6513037858842514,3.225302234650584,3.1707984992935496,3.044510420395442,2.863031287824545,2.8768477292099024,2.767715826643629,2.5355095180618967,2.5203827786798865,2.4849598550727627,2.464464897424902,2.455435903242188,2.4492924529456257,2.4219500088324044,2.425592717621336,2.379162177819519,2.331095179877116,2.3438051272157607,2.334255709996932,2.331130109877477,2.334970634091113,2.3208780134514924,2.3241481983922947,2.331910311947704,2.3148013795655,2.3134755201229686,2.3106254925542435,2.2694528298224688,2.2344156116125413,2.227318834610055,2.201489407992959,2.198049664195835,2.199522938484512,2.331910311947704,2.3148013795655,2.3134755201229686,2.3106254925542435,2.2694528298224688,2.2344156116125413,2.227318834610055,2.201489407992959,2.198049664195835,2.199522938484512
scenario_2,run_5,2.5373184158569018,2.112171684682844,2.44747183245946,2.5374969067909423,2.2850691410547608,2.2867950326305824,2.1920347579974817,2.196856832014757,1.6908761981837035,1.931943804340032,1.623656124720907,0.0,1.6080061594342268,1.4523361731814333,1.5926657189820237,1.525968090083227,1.5491597538111272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scenario_2,run_6,0.0,3.959657013034807,3.944205565517776,3.9145570451526455,3.908188160616127,3.905946608511023,3.846224757949836,3.815268981213456,3.845071806480057,3.4288609024011745,3.824707602170077,3.4314755788058413,3.4741594963957017,1.4807464663613386,1.4888266001862656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scenario_2,run_7,3.916264234012599,2.149751267944989,1.7829055805884635,0.0,0.0,1.3880793238461206,0.0,1.4799714984105938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scenario_2,run_8,2.912543581095285,1.7914046840087967,1.7766879853342146,0.0,1.4630836131644651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scenario_2,run_9,2.2580427007510915,2.233721601945007,1.8766515036853653,2.1319053867561424,1.7603085594878969,1.7382740832633783,1.6990053051728558,1.699370284900954,1.7002847776765595,1.6515439618371108,1.699994668516407,1.6773583651708197,1.6828904617204266,1.6770229926429878,1.67458605666918,1.6513438253629604,1.6611259705665,1.6029347345384095,1.6720941745601636,1.451364982825105,1.6711125176082775,1.4503212664153815,1.4508734214215846,1.4448180914036963,1.4453583715906428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scenario_2,run_10,1.8936829959529584,2.0373446932613644,1.886812489765741,1.7757080540591412,1.6956419326835266,1.6486795669504777,1.6479573889989003,1.6077142849050372,1.6082316561605925,0.0,1.604663803203386,1.606434061150876,1.6029944129076132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scenario_3,run_1,3.1772355490986603,3.4622693931386785,3.2104703727972166,3.2722862833081776,3.2062599182963103,3.0382468570649865,3.111105256490428,3.114251025075921,3.0863584834743008,3.016919447203411,3.0204651971609016,3.112210403728396,2.9614449957645266,3.024051675210196,3.023367300698001,2.9966199116313845,3.026104362806148,2.928819478414425,3.0233075524398587,2.837936932440784,2.9656998130948904,2.9286804047101658,3.0026476931352275,3.0214029380548464,3.089598397774504,2.855818091886948,2.9303032086796583,3.0286177577921767,3.0196326915779905,0.0,2.9180664685687034,2.996534128982998,2.9034251487568468,2.9375324884340586,2.9957725032328044,2.9294989452632434,2.928345398197409,2.9031829704695773,2.935546005793391,2.839644029992503,2.9180664685687034,2.996534128982998,2.9034251487568468,2.9375324884340586,2.9957725032328044,2.9294989452632434,2.928345398197409,2.9031829704695773,2.935546005793391,2.839644029992503
scenario_3,run_2,0.0,1.5409324046233064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scenario_3,run_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scenario_3,run_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scenario_3,run_5,0.0,3.3531164089710086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scenario_3,run_6,2.925080471078521,3.2512085239514787,2.440951850413852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scenario_3,run_7,3.698080592116448,3.543986217577727,3.5443680640331268,3.3415743916016813,2.5419631742587288,2.1995723589116616,2.0126935443925933,1.6138014432187358,1.871381696276284,1.92024802745581,1.930345378401128,1.8411360225949247,1.7858182580334565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scenario_3,run_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scenario_3,run_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scenario_3,run_10,3.2242230364190942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scenario_4,run_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scenario_4,run_2,1.4821327021817376,2.27925762934812,2.3437511676865204,2.514548478778625,2.4811952206962675,0.0,1.9435728555542675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scenario_4,run_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
